sys.exec.out.time {s},time {s},altitude {m},latitude {r},longitude {r},seat_accel_x {m/s2},seat_accel_y {m/s2},seat_accel_z {m/s2}
5.6,5.61,479.8937446,0.4985066352,-1.406332348,33.45730173,-0.3972847903,-13.32757814
5.7,5.71,496.1307249,0.4985067825,-1.40633196,32.85692436,-0.4990642014,-12.90889308
5.8,5.81,512.6177037,0.4985069346,-1.406331563,32.06618379,-0.1782290069,-12.78917447
5.9,5.91,529.3478398,0.4985070914,-1.406331157,31.39756416,-0.1330751524,-12.44803213
6,6.01,546.3128857,0.4985072533,-1.406330743,30.54174826,0.1855185741,-12.62111144
6.1,6.11,563.505391,0.4985074204,-1.406330321,29.95563353,0.1176599431,-12.26101624
6.2,6.21,580.9173903,0.4985075928,-1.40632989,29.29960714,0.1170721781,-11.9564012
6.3,6.31,598.5413808,0.4985077701,-1.406329452,28.73530402,0.03898572687,-11.43110465
6.4,6.41,616.3711159,0.498507952,-1.406329006,28.07680034,0.02242594577,-11.21346606
6.5,6.51,634.400548,0.4985081382,-1.406328552,27.72026584,-0.2547397218,-10.50488025
6.6,6.61,652.6238462,0.4985083281,-1.406328091,27.22372967,-0.1760729421,-10.13048628
6.7,6.71,671.0366875,0.4985085213,-1.406327622,26.76375714,0.09591664821,-9.754728473
6.8,6.81,689.6342626,0.4985087176,-1.406327147,26.35484035,0.5754559544,-9.353679537
6.9,6.91,708.4112526,0.4985089167,-1.406326665,25.79613631,0.3659885621,-9.516542795
7,7.01,727.3615758,0.4985091188,-1.406326177,25.34429186,0.2371870579,-9.466823742
7.1,7.11,746.4800326,0.4985093241,-1.406325683,24.96297248,0.3202494479,-9.084838668
7.2,7.21,765.7613092,0.4985095321,-1.406325182,23.18515572,0.003140893447,-7.539099161
7.3,7.31,785.1934709,0.4985097423,-1.406324675,23.36366774,0.8075227384,-7.549535286
7.4,7.41,804.7704221,0.4985099537,-1.406324162,24.02101305,1.125708352,-7.243380551
7.5,7.51,824.4936489,0.4985101653,-1.406323644,24.53420099,1.053043427,-7.052039374
7.6,7.61,844.3675806,0.4985103756,-1.406323122,24.86175581,1.240774472,-6.951300783
7.7,7.71,864.3977697,0.4985105838,-1.406322595,24.92176794,1.895259265,-6.239546833
7.8,7.81,884.5869534,0.4985107886,-1.406322068,24.61123981,2.373349783,-5.531658856
7.9,7.91,904.9327519,0.498510989,-1.406321542,22.9608091,2.438872355,-4.374007113
8,8.01,925.3870934,0.4985111841,-1.406321017,-3.665742595,2.605110857,5.768983317
8.1,8.11,945.7354176,0.4985113727,-1.4063205,-4.013541945,2.967071163,5.645887889
8.2,8.21,965.9290922,0.4985115551,-1.406319989,-3.898352735,2.462151244,5.564332603
8.3,8.31,985.9746849,0.4985117312,-1.406319484,-3.617452715,1.529094937,5.727574068
8.4,8.41,1005.871871,0.4985119009,-1.406318984,-3.478115719,0.7113460561,5.539581056
8.5,8.51,1025.620845,0.498512064,-1.406318486,-3.229592098,-0.2929271557,5.589343752
8.6,8.61,1045.221641,0.4985122205,-1.406317989,-3.180376063,-0.9154128335,5.199980165
8.7,8.71,1064.674131,0.4985123708,-1.406317491,-3.200079489,-1.60745016,4.623618813
8.8,8.81,1083.978228,0.4985125156,-1.406316992,-3.215085274,-1.773876913,4.293404029
8.9,8.91,1103.134287,0.4985126556,-1.406316492,-3.267781659,-1.788507095,3.943606191
9,9.01,1122.142885,0.4985127912,-1.406315989,-3.269268012,-2.037288302,3.567227014
9.1,9.11,1141.004447,0.4985129232,-1.406315484,-3.409432066,-2.045383353,2.960045592
9.2,9.21,1159.719824,0.4985130523,-1.406314977,-3.441168535,-2.01553419,2.651207694
9.3,9.31,1178.290104,0.498513179,-1.406314467,-3.422549641,-1.752408114,2.539360977
9.4,9.41,1196.716682,0.4985133034,-1.406313955,-3.477329668,-1.526302575,2.201906073
9.5,9.51,1215.001051,0.4985134261,-1.406313442,-3.533501336,-0.977720448,2.013929548
